Date,Severity,Size,Intensity
2018-06-13,S1,4015993.010138084,5594072.64978705
2018-06-13,S2,37254.662412203346,90781.58657739701
2018-06-14,S1,3211994.1505850204,4394473.992314208
2018-06-14,S2,45891.48457796967,112679.79870877413
2018-06-15,S1,5148972.539055916,7373244.576919721
2018-06-15,S2,54589.326603220805,141407.88293169747
2018-06-16,S1,6047564.691089619,8715949.636647016
2018-06-16,S2,53540.14511136606,138035.11703551994
2018-06-17,S1,6968167.17733039,10188042.617748491
2018-06-17,S2,48549.91207191542,115335.30117062661
2018-06-18,S1,7119536.090444446,10611245.10101897
2018-06-18,S2,163482.52797876863,383014.672999869
2018-06-19,S1,6935673.887376855,10299604.225420425
2018-06-19,S2,134068.99416127426,331194.4465332741
2018-06-20,S1,5997121.485912195,8780269.726382902
